Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT
Date,,,,,,,,,,,,,,,
2015-01-02,24.261049270629883,25.99079132080078,39.93304443359375,24.729272337596463,26.31071882031878,40.49668438609426,23.82167345251905,25.95562964389884,39.745166621261546,24.71817633026032,26.19879288117771,39.84764572414747,212818400,28951268,27913900
2015-01-05,23.577571868896484,25.448997497558594,39.56583023071289,24.110147948537623,25.967020824027138,39.907428350889916,23.391171172179064,25.40888389832373,39.49750865202618,24.03026145194082,25.914029196570382,39.59998776230407,257142000,41196796,39673900
2015-01-06,23.579788208007812,24.859163284301758,38.98511505126953,23.839418440201086,25.56315078165636,39.92451407944966,23.21807948278624,24.814097763862573,38.891174496900994,23.641921765146805,25.504959068812152,39.608534880189445,263188400,57998800,36447900
2015-01-07,23.91043472290039,24.81657600402832,39.48042678833008,24.010292009735185,25.120852121466395,39.67684643311755,23.677432129602,24.74476555213114,38.84846849775337,23.78838542297973,25.108767839601512,39.26692674950648,160423600,41301082,29114100
2015-01-08,24.82912826538086,24.89482307434082,40.64188003540039,24.886824452930725,24.934442241267934,40.77851997201219,24.121245700213183,24.316380206189073,39.89890058368327,24.23885761526062,24.66255442952079,39.92451955375016,237458000,67071641,29645200
2015-01-09,24.85575294494629,24.572420120239258,40.30028533935547,25.13091659074848,25.005754971185773,40.838306605471224,24.456320480868424,24.50407639805887,40.05262765232126,25.002210386433102,24.997832653749224,40.658967269350505,214798000,41427428,23944200
2015-01-12,24.243295669555664,24.393138885498047,39.796417236328125,24.993339356300723,24.562809448209304,40.599179695261356,24.1434383783279,24.146012616901956,39.591458965187755,24.98668242928727,24.51150193388483,40.49669730193819,198603200,46535413,23651900
2015-01-13,24.458545684814453,24.57291603088379,39.591461181640625,25.031065118246495,24.909678951252754,40.915161220849704,24.16784858103106,24.38521847443088,39.33526169949583,24.727052467234984,24.70464966677946,40.1124019747285,268367600,47409807,35270600
2015-01-14,24.365345001220703,24.805185317993164,39.249847412109375,24.51845940173482,24.92206129565073,39.48896967730058,24.076865748230265,24.41542886261193,38.95948722118245,24.196695513641078,24.497145054459647,39.249847412109375,195826400,44714427,29719600
